,metric,industry,value
2017-01-01,Compliance Actions,amusement,214
2017-01-01,Back Wages,amusement,924267.22
2017-01-01,Employees Receiving Back Wages,amusement,2038
2017-01-01,CMPs Assessed,amusement,113501.37
2016-01-01,Compliance Actions,amusement,206
2016-01-01,Back Wages,amusement,602061.16
2016-01-01,Employees Receiving Back Wages,amusement,967
2016-01-01,CMPs Assessed,amusement,254355.5
2015-01-01,Compliance Actions,amusement,278
2015-01-01,Back Wages,amusement,1319407.64
2015-01-01,Employees Receiving Back Wages,amusement,3286
2015-01-01,CMPs Assessed,amusement,124472.5
2014-01-01,Compliance Actions,amusement,373
2014-01-01,Back Wages,amusement,1313545.96
2014-01-01,Employees Receiving Back Wages,amusement,2378
2014-01-01,CMPs Assessed,amusement,214132.95
2013-01-01,Compliance Actions,amusement,342
2013-01-01,Back Wages,amusement,1784903.51
2013-01-01,Employees Receiving Back Wages,amusement,2260
2013-01-01,CMPs Assessed,amusement,83088
2023-01-01,Compliance Actions,animal processing,38
2023-01-01,Back Wages,animal processing,887866.14
2023-01-01,Employees Receiving Back Wages,animal processing,759
2023-01-01,CMPs Assessed,animal processing,13298
2022-01-01,Compliance Actions,animal processing,45
2022-01-01,Back Wages,animal processing,621436.44
2022-01-01,Employees Receiving Back Wages,animal processing,846
2022-01-01,CMPs Assessed,animal processing,39750.38
2021-01-01,Compliance Actions,animal processing,51
2021-01-01,Back Wages,animal processing,439673.92
2021-01-01,Employees Receiving Back Wages,animal processing,527
2021-01-01,CMPs Assessed,animal processing,64467
2020-01-01,Compliance Actions,animal processing,56
2020-01-01,Back Wages,animal processing,833536.79
2020-01-01,Employees Receiving Back Wages,animal processing,1550
2020-01-01,CMPs Assessed,animal processing,82359.82
2019-01-01,Compliance Actions,animal processing,50
2019-01-01,Back Wages,animal processing,1142031.16
2019-01-01,Employees Receiving Back Wages,animal processing,747
2019-01-01,CMPs Assessed,animal processing,205432.38
2018-01-01,Compliance Actions,animal processing,59
2018-01-01,Back Wages,animal processing,589638.71
2018-01-01,Employees Receiving Back Wages,animal processing,998
2018-01-01,CMPs Assessed,animal processing,112034.6
2017-01-01,Compliance Actions,animal processing,52
2017-01-01,Back Wages,animal processing,444973
2017-01-01,Employees Receiving Back Wages,animal processing,1109
2017-01-01,CMPs Assessed,animal processing,42943
2016-01-01,Compliance Actions,animal processing,55
2016-01-01,Back Wages,animal processing,497280.14
2016-01-01,Employees Receiving Back Wages,animal processing,821
2016-01-01,CMPs Assessed,animal processing,24600
2015-01-01,Compliance Actions,animal processing,53
2015-01-01,Back Wages,animal processing,340801.91
2015-01-01,Employees Receiving Back Wages,animal processing,740
2015-01-01,CMPs Assessed,animal processing,4000
2014-01-01,Compliance Actions,animal processing,41
2014-01-01,Back Wages,animal processing,690176.76
2014-01-01,Employees Receiving Back Wages,animal processing,851
2014-01-01,CMPs Assessed,animal processing,330733.68
2013-01-01,Compliance Actions,animal processing,48
2013-01-01,Back Wages,animal processing,828806.56
2013-01-01,Employees Receiving Back Wages,animal processing,1019
2013-01-01,CMPs Assessed,animal processing,103981.74
2023-01-01,Compliance Actions,apparel manufacturing,53
2023-01-01,Back Wages,apparel manufacturing,594618.07
2023-01-01,Employees Receiving Back Wages,apparel manufacturing,178
2023-01-01,CMPs Assessed,apparel manufacturing,24563
2022-01-01,Compliance Actions,apparel manufacturing,114
2022-01-01,Back Wages,apparel manufacturing,989237.05
2022-01-01,Employees Receiving Back Wages,apparel manufacturing,359
2022-01-01,CMPs Assessed,apparel manufacturing,39830
2021-01-01,Compliance Actions,apparel manufacturing,76
2021-01-01,Back Wages,apparel manufacturing,1305533.86
2021-01-01,Employees Receiving Back Wages,apparel manufacturing,588
2021-01-01,CMPs Assessed,apparel manufacturing,0
2020-01-01,Compliance Actions,apparel manufacturing,128
2020-01-01,Back Wages,apparel manufacturing,1690750
2020-01-01,Employees Receiving Back Wages,apparel manufacturing,829
2020-01-01,CMPs Assessed,apparel manufacturing,36165.8
2019-01-01,Compliance Actions,apparel manufacturing,166
2019-01-01,Back Wages,apparel manufacturing,2150438.27
2019-01-01,Employees Receiving Back Wages,apparel manufacturing,1160
2019-01-01,CMPs Assessed,apparel manufacturing,107456.18
2018-01-01,Compliance Actions,apparel manufacturing,168
2018-01-01,Back Wages,apparel manufacturing,1453942.54
2018-01-01,Employees Receiving Back Wages,apparel manufacturing,820
2018-01-01,CMPs Assessed,apparel manufacturing,1209.6
2017-01-01,Compliance Actions,apparel manufacturing,182
2017-01-01,Back Wages,apparel manufacturing,2817348.56
2017-01-01,Employees Receiving Back Wages,apparel manufacturing,2356
2017-01-01,CMPs Assessed,apparel manufacturing,85146.5
2016-01-01,Compliance Actions,apparel manufacturing,276
2016-01-01,Back Wages,apparel manufacturing,3883134.97
2016-01-01,Employees Receiving Back Wages,apparel manufacturing,2566
2016-01-01,CMPs Assessed,apparel manufacturing,332818.84
2015-01-01,Compliance Actions,apparel manufacturing,200
2015-01-01,Back Wages,apparel manufacturing,1594927.75
2015-01-01,Employees Receiving Back Wages,apparel manufacturing,1275
2015-01-01,CMPs Assessed,apparel manufacturing,241905.5
2014-01-01,Compliance Actions,apparel manufacturing,240
2014-01-01,Back Wages,apparel manufacturing,3095832.13
2014-01-01,Employees Receiving Back Wages,apparel manufacturing,1673
2014-01-01,CMPs Assessed,apparel manufacturing,104370
2013-01-01,Compliance Actions,apparel manufacturing,336
2013-01-01,Back Wages,apparel manufacturing,3597939.88
2013-01-01,Employees Receiving Back Wages,apparel manufacturing,2539
2013-01-01,CMPs Assessed,apparel manufacturing,560196.5
2023-01-01,Compliance Actions,auto repair,250
2023-01-01,Back Wages,auto repair,1777967.16
2023-01-01,Employees Receiving Back Wages,auto repair,1202
2023-01-01,CMPs Assessed,auto repair,54609
2022-01-01,Compliance Actions,auto repair,308
2022-01-01,Back Wages,auto repair,1334621.65
2022-01-01,Employees Receiving Back Wages,auto repair,1249
2022-01-01,CMPs Assessed,auto repair,47043
2021-01-01,Compliance Actions,auto repair,546
2021-01-01,Back Wages,auto repair,4350665.46
2021-01-01,Employees Receiving Back Wages,auto repair,3564
2021-01-01,CMPs Assessed,auto repair,475219.79
2020-01-01,Compliance Actions,auto repair,450
2020-01-01,Back Wages,auto repair,2914022.42
2020-01-01,Employees Receiving Back Wages,auto repair,2472
2020-01-01,CMPs Assessed,auto repair,115487.72
2019-01-01,Compliance Actions,auto repair,397
2019-01-01,Back Wages,auto repair,2691700.82
2019-01-01,Employees Receiving Back Wages,auto repair,3128
2019-01-01,CMPs Assessed,auto repair,92983.31
2018-01-01,Compliance Actions,auto repair,359
2018-01-01,Back Wages,auto repair,2490088.63
2018-01-01,Employees Receiving Back Wages,auto repair,2421
2018-01-01,CMPs Assessed,auto repair,87103.75
2017-01-01,Compliance Actions,auto repair,421
2017-01-01,Back Wages,auto repair,3986360.42
2017-01-01,Employees Receiving Back Wages,auto repair,2912
2017-01-01,CMPs Assessed,auto repair,255198
2016-01-01,Compliance Actions,auto repair,516
2016-01-01,Back Wages,auto repair,4265192.61
2016-01-01,Employees Receiving Back Wages,auto repair,4650
2016-01-01,CMPs Assessed,auto repair,236713.5
2015-01-01,Compliance Actions,auto repair,499
2015-01-01,Back Wages,auto repair,3089061.51
2015-01-01,Employees Receiving Back Wages,auto repair,4867
2015-01-01,CMPs Assessed,auto repair,56847.5
2014-01-01,Compliance Actions,auto repair,452
2014-01-01,Back Wages,auto repair,4614729.18
2014-01-01,Employees Receiving Back Wages,auto repair,5422
2014-01-01,CMPs Assessed,auto repair,226874
2013-01-01,Compliance Actions,auto repair,465
2013-01-01,Back Wages,auto repair,5268483.21
2013-01-01,Employees Receiving Back Wages,auto repair,3560
2013-01-01,CMPs Assessed,auto repair,99181.5
2023-01-01,Compliance Actions,child care services,372
2023-01-01,Back Wages,child care services,618719.19
2023-01-01,Employees Receiving Back Wages,child care services,1411
2023-01-01,CMPs Assessed,child care services,13132.75
2022-01-01,Compliance Actions,child care services,347
2022-01-01,Back Wages,child care services,545157.04
2022-01-01,Employees Receiving Back Wages,child care services,1190
2022-01-01,CMPs Assessed,child care services,20851
2021-01-01,Compliance Actions,child care services,435
2021-01-01,Back Wages,child care services,832769.98
2021-01-01,Employees Receiving Back Wages,child care services,1523
2021-01-01,CMPs Assessed,child care services,202463.88
2020-01-01,Compliance Actions,child care services,449
2020-01-01,Back Wages,child care services,996562.83
2020-01-01,Employees Receiving Back Wages,child care services,2122
2020-01-01,CMPs Assessed,child care services,126916.45
2019-01-01,Compliance Actions,child care services,723
2019-01-01,Back Wages,child care services,1470505.6
2019-01-01,Employees Receiving Back Wages,child care services,3480
2019-01-01,CMPs Assessed,child care services,43697
2018-01-01,Compliance Actions,child care services,836
2018-01-01,Back Wages,child care services,1360958.76
2018-01-01,Employees Receiving Back Wages,child care services,3612
2018-01-01,CMPs Assessed,child care services,39594.4
2017-01-01,Compliance Actions,child care services,836
2017-01-01,Back Wages,child care services,1234587.08
2017-01-01,Employees Receiving Back Wages,child care services,3882
2017-01-01,CMPs Assessed,child care services,59964.85
2016-01-01,Compliance Actions,child care services,812
2016-01-01,Back Wages,child care services,1640979.69
2016-01-01,Employees Receiving Back Wages,child care services,3944
2016-01-01,CMPs Assessed,child care services,30194.25
2015-01-01,Compliance Actions,child care services,852
2015-01-01,Back Wages,child care services,1642923.96
2015-01-01,Employees Receiving Back Wages,child care services,3992
2015-01-01,CMPs Assessed,child care services,63867
2014-01-01,Compliance Actions,child care services,1144
2014-01-01,Back Wages,child care services,1875155.93
2014-01-01,Employees Receiving Back Wages,child care services,5812
2014-01-01,CMPs Assessed,child care services,67138.75
2013-01-01,Compliance Actions,child care services,1125
2013-01-01,Back Wages,child care services,2183958
2013-01-01,Employees Receiving Back Wages,child care services,5640
2013-01-01,CMPs Assessed,child care services,56182.5
2023-01-01,Compliance Actions,construction,2134
2023-01-01,Back Wages,construction,35558597.63
2023-01-01,Employees Receiving Back Wages,construction,17944
2023-01-01,CMPs Assessed,construction,1784916.1099999999
2022-01-01,Compliance Actions,construction,2268
2022-01-01,Back Wages,construction,32913795.29
2022-01-01,Employees Receiving Back Wages,construction,17127
2022-01-01,CMPs Assessed,construction,2150996.41
2021-01-01,Compliance Actions,construction,3034
2021-01-01,Back Wages,construction,36068079.68
2021-01-01,Employees Receiving Back Wages,construction,21341
2021-01-01,CMPs Assessed,construction,2430278.52
2020-01-01,Compliance Actions,construction,3049
2020-01-01,Back Wages,construction,34696579.11
2020-01-01,Employees Receiving Back Wages,construction,24882
2020-01-01,CMPs Assessed,construction,1025370.98
2019-01-01,Compliance Actions,construction,3063
2019-01-01,Back Wages,construction,48314281.21
2019-01-01,Employees Receiving Back Wages,construction,38218
2019-01-01,CMPs Assessed,construction,1534306.59
2018-01-01,Compliance Actions,construction,3018
2018-01-01,Back Wages,construction,38829434.6400001
2018-01-01,Employees Receiving Back Wages,construction,25679
2018-01-01,CMPs Assessed,construction,1264662.54
2017-01-01,Compliance Actions,construction,2959
2017-01-01,Back Wages,construction,49347769.9700001
2017-01-01,Employees Receiving Back Wages,construction,26514
2017-01-01,CMPs Assessed,construction,940917.05
2016-01-01,Compliance Actions,construction,3120
2016-01-01,Back Wages,construction,41717848.93
2016-01-01,Employees Receiving Back Wages,construction,26866
2016-01-01,CMPs Assessed,construction,1030774.41
2015-01-01,Compliance Actions,construction,3106
2015-01-01,Back Wages,construction,42163496.58
2015-01-01,Employees Receiving Back Wages,construction,27850
2015-01-01,CMPs Assessed,construction,799221.12
2014-01-01,Compliance Actions,construction,3244
2014-01-01,Back Wages,construction,45440474.69
2014-01-01,Employees Receiving Back Wages,construction,26157
2014-01-01,CMPs Assessed,construction,473566.93
2013-01-01,Compliance Actions,construction,3709
2013-01-01,Back Wages,construction,44673371.17
2013-01-01,Employees Receiving Back Wages,construction,25045
2013-01-01,CMPs Assessed,construction,667458.05
2023-01-01,Compliance Actions,food services,4095
2023-01-01,Back Wages,food services,29648591.67
2023-01-01,Employees Receiving Back Wages,food services,25908
2023-01-01,CMPs Assessed,food services,6121333.6
2022-01-01,Compliance Actions,food services,3840
2022-01-01,Back Wages,food services,27142447.05
2022-01-01,Employees Receiving Back Wages,food services,22531
2022-01-01,CMPs Assessed,food services,4034271.88
2021-01-01,Compliance Actions,food services,4237
2021-01-01,Back Wages,food services,34741032.19
2021-01-01,Employees Receiving Back Wages,food services,29209
2021-01-01,CMPs Assessed,food services,3175536.83
2020-01-01,Compliance Actions,food services,4647
2020-01-01,Back Wages,food services,38675282.7399999
2020-01-01,Employees Receiving Back Wages,food services,39555
2020-01-01,CMPs Assessed,food services,3207421.31
2019-01-01,Compliance Actions,food services,5417
2019-01-01,Back Wages,food services,36039626.1
2019-01-01,Employees Receiving Back Wages,food services,41863
2019-01-01,CMPs Assessed,food services,3482527.11
2018-01-01,Compliance Actions,food services,5751
2018-01-01,Back Wages,food services,42873337.2400001
2018-01-01,Employees Receiving Back Wages,food services,41103
2018-01-01,CMPs Assessed,food services,3085273.37
2017-01-01,Compliance Actions,food services,5446
2017-01-01,Back Wages,food services,42936551.7500002
2017-01-01,Employees Receiving Back Wages,food services,44363
2017-01-01,CMPs Assessed,food services,2202306.53
2016-01-01,Compliance Actions,food services,4975
2016-01-01,Back Wages,food services,39754568.9000001
2016-01-01,Employees Receiving Back Wages,food services,44707
2016-01-01,CMPs Assessed,food services,2261605.57
2015-01-01,Compliance Actions,food services,4787
2015-01-01,Back Wages,food services,38098094.7199999
2015-01-01,Employees Receiving Back Wages,food services,46902
2015-01-01,CMPs Assessed,food services,1615917.04
2014-01-01,Compliance Actions,food services,5118
2014-01-01,Back Wages,food services,34451989.7800001
2014-01-01,Employees Receiving Back Wages,food services,44133
2014-01-01,CMPs Assessed,food services,1519614.99
2013-01-01,Compliance Actions,food services,6053
2013-01-01,Back Wages,food services,34863786.21
2013-01-01,Employees Receiving Back Wages,food services,47861
2013-01-01,CMPs Assessed,food services,1573780.64
2023-01-01,Compliance Actions,guard services,638
2023-01-01,Back Wages,guard services,5250544.43
2023-01-01,Employees Receiving Back Wages,guard services,4913
2023-01-01,CMPs Assessed,guard services,207242.5
2022-01-01,Compliance Actions,guard services,607
2022-01-01,Back Wages,guard services,3900934.81
2022-01-01,Employees Receiving Back Wages,guard services,4606
2022-01-01,CMPs Assessed,guard services,593049
2021-01-01,Compliance Actions,guard services,497
2021-01-01,Back Wages,guard services,6252652.3
2021-01-01,Employees Receiving Back Wages,guard services,5343
2021-01-01,CMPs Assessed,guard services,95577.25
2020-01-01,Compliance Actions,guard services,567
2020-01-01,Back Wages,guard services,6692059.18
2020-01-01,Employees Receiving Back Wages,guard services,6246
2020-01-01,CMPs Assessed,guard services,167118
2019-01-01,Compliance Actions,guard services,597
2019-01-01,Back Wages,guard services,6771935.69
2019-01-01,Employees Receiving Back Wages,guard services,12553
2019-01-01,CMPs Assessed,guard services,626339.45
2018-01-01,Compliance Actions,guard services,580
2018-01-01,Back Wages,guard services,10014706.23
2018-01-01,Employees Receiving Back Wages,guard services,10569
2018-01-01,CMPs Assessed,guard services,151422.45
2017-01-01,Compliance Actions,guard services,591
2017-01-01,Back Wages,guard services,5273457.68
